2012-05-16,0
2012-05-17,9
2012-05-18,0
2012-05-19,8
2012-05-20,10
2012-05-21,11
2012-05-22,0
2012-05-23,23
2012-05-24,9
2012-05-25,8
2012-05-26,22
2012-05-27,11
2012-05-28,9
2012-05-29,12
2012-05-30,4
2012-05-31,8
2012-06-01,3
2012-06-02,6
2012-06-03,7
2012-06-04,9
2012-06-05,4
2012-06-07,1
2012-06-08,6
2012-06-09,6
2012-06-10,9
2012-06-11,11
2012-06-12,0
2012-06-13,1
2012-06-14,28
2012-06-15,74
2012-06-16,73
2012-06-17,104
2012-06-18,110
2012-06-19,93
2012-06-20,151
2012-06-21,189
2012-06-22,266
2012-06-23,0
2012-06-24,0
2012-06-25,0
2012-06-26,46
2012-06-27,77
2012-06-28,107
2012-06-29,264
2012-06-30,57
2012-07-01,64
2012-07-02,128
2012-07-03,110
2012-07-04,66
2012-07-05,3
2012-07-06,0
2012-07-07,31
2012-07-08,105
2012-07-09,200
2012-07-10,171
2012-07-11,124
2012-07-12,13
2012-07-13,173
2012-07-14,2861
2012-07-15,549
2012-07-16,145
2012-07-17,70
2012-07-18,2
2012-07-19,229
2012-07-20,574
2012-07-21,170
2012-07-22,769
2012-07-23,837
2012-07-24,1073
2012-07-25,883
2012-07-26,1020
2012-07-27,2707
2012-07-28,2037
2012-07-30,2360
2012-07-31,32
2012-08-01,192
2012-08-02,746
2012-08-03,119
2012-08-04,63
2012-08-05,236
2012-08-06,2
2012-08-07,8
2012-08-08,4
2012-08-09,573
2012-08-10,572
2012-08-11,582
2012-08-12,1188
2012-08-13,687
2012-08-14,2
2012-08-15,609
2012-08-16,522
2012-08-17,1084
2012-08-18,1157
2012-08-19,73
2012-08-20,374
2012-08-21,275
2012-08-22,270
2012-08-23,192
2012-08-24,191
2012-08-25,169
2012-08-26,458
2012-08-27,537
2012-08-28,64
2012-08-29,32
2012-08-30,511
2012-08-31,50
2012-09-01,69
2012-09-02,95
2012-09-03,123
2012-09-04,38
2012-09-05,51
2012-09-06,54
2012-09-07,52
2012-09-08,52
2012-09-09,67
2012-09-10,3
2012-09-12,27
2012-09-13,242
2012-09-14,0
2012-09-15,2
2012-09-16,36
2012-09-17,82
2012-09-18,212
2012-09-19,79
2012-09-20,129
2012-09-21,111
2012-09-22,116
2012-09-23,110
2012-09-24,83
2012-09-25,95
2012-09-26,40
2012-09-27,76
2012-09-28,87
2012-09-29,102
2012-09-30,61
2012-10-01,59
2012-10-02,62
2012-10-03,52
2012-10-04,52
2012-10-05,53
2012-10-06,40
2012-10-07,56
2012-10-08,70
2012-10-09,32
2012-10-11,3
2012-10-12,29
2012-10-13,50
2012-10-14,2
2012-10-15,23
